ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,active_rank,generic,rollover,adj_price,adj_ratio
P2002.DCE,20190416,4720.0,4720.0,,,,4720.0,4720.0,0.0,0.0,0.0,0.0,0.0,0.0,P,20190222,20200214,3.0,Pv3,1,4865.5,1.0
P2003.DCE,20190510,4656.0,4656.0,4670.0,4682.0,4670.0,4682.0,4674.0,26.0,18.0,6.0,28.04,6.0,6.0,P,20190315,20200313,3.0,Pv3,1,4550.5,1.0
P2004.DCE,20190529,4684.0,4684.0,4708.0,4766.0,4708.0,4766.0,4736.0,82.0,52.0,100.0,473.7,2.0,0.0,P,20190416,20200415,1.0,Pv1,1,4825.0,1.1
P2006.DCE,20190701,4722.0,4722.0,4836.0,4836.0,4722.0,4836.0,4806.0,114.0,84.0,22.0,105.76,6.0,,P,20190618,20200612,3.0,Pv3,1,4858.9,1.0
P2007.DCE,20190805,4710.0,4710.0,4856.0,4886.0,4774.0,4842.0,4832.0,132.0,122.0,10.0,48.33,0.0,0.0,P,20190715,20200714,1.0,Pv1,1,4739.2,1.0
P2008.DCE,20190815,,5000.0,,,,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,,P,20190815,20200814,1.0,Pv1,1,5496.3,1.0
P2010.DCE,20191024,5192.0,5192.0,5140.0,5238.0,5140.0,5238.0,5188.0,46.0,-4.0,4.0,20.76,0.0,0.0,P,20191022,20201022,1.0,Pv1,1,5207.3,1.0
P2004.DCE,20191115,5666.0,5666.0,5492.0,5548.0,5492.0,5548.0,5520.0,-118.0,-146.0,4.0,22.08,2.0,0.0,P,20190416,20200415,3.0,Pv3,1,5616.7,1.1
P2008.DCE,20191121,5464.0,5464.0,,,,5614.0,5614.0,150.0,150.0,0.0,0.0,2.0,0.0,P,20190815,20200814,3.0,Pv3,1,6171.2,1.0
P2010.DCE,20191128,5584.0,5584.0,5656.0,5656.0,5548.0,5548.0,5600.0,-36.0,16.0,6.0,33.61,6.0,4.0,P,20191022,20201022,3.0,Pv3,1,5515.5,1.0
P2011.DCE,20191210,5676.0,5676.0,5742.0,5838.0,5674.0,5690.0,5774.0,14.0,98.0,102.0,589.14,6.0,-16.0,P,20191115,20201113,3.0,Pv3,1,4367.1,0.9
P2012.DCE,20191216,,5584.0,5778.0,5778.0,5778.0,5778.0,5778.0,194.0,194.0,2.0,11.56,2.0,,P,20191216,20201214,1.0,Pv1,1,5927.9,1.0
P2008.DCE,20200106,6092.0,6092.0,,,,6092.0,6092.0,0.0,0.0,0.0,0.0,7.0,0.0,P,20190815,20200814,2.0,Pv2,1,6696.6,1.0
P2011.DCE,20200120,5758.0,5758.0,5690.0,5800.0,5690.0,5800.0,5762.0,42.0,4.0,3.0,17.29,7.0,-3.0,P,20191115,20201113,3.0,Pv3,1,4451.5,0.9
P2010.DCE,20200121,5792.0,5792.0,5762.0,5762.0,5762.0,5762.0,5762.0,-30.0,-30.0,1.0,5.76,4.0,0.0,P,20191022,20201022,1.0,Pv1,1,5728.2,1.0
P2008.DCE,20200220,5450.0,5456.0,5410.0,5434.0,5390.0,5434.0,5410.0,-22.0,-46.0,5.0,27.05,4.0,-2.0,P,20190815,20200814,3.0,Pv3,1,5973.3,1.0
P2010.DCE,20200226,5448.0,5448.0,5230.0,5230.0,5230.0,5230.0,5230.0,-218.0,-218.0,1.0,5.23,5.0,-1.0,P,20191022,20201022,3.0,Pv3,1,5199.4,1.0
P2008.DCE,20200305,5240.0,5268.0,5264.0,5328.0,5264.0,5322.0,5294.0,54.0,26.0,8.0,42.36,3.0,-2.0,P,20190815,20200814,2.0,Pv2,1,5850.2,1.0
P2102.DCE,20200313,4962.0,4962.0,4714.0,4768.0,4714.0,4768.0,4726.0,-194.0,-236.0,8.0,37.82,3.0,2.0,P,20200217,20210219,2.0,Pv2,1,4716.5,1.0
P2004.DCE,20200316,4782.0,4782.0,4780.0,4850.0,4620.0,4720.0,4766.0,-62.0,-16.0,8.0,38.13,4.0,-2.0,P,20190416,20200415,3.0,Pv3,1,4778.4,1.1
P2103.DCE,20200323,4726.0,4726.0,4798.0,4798.0,4594.0,4594.0,4696.0,-132.0,-30.0,2.0,9.39,0.0,0.0,P,20200316,20210312,1.0,Pv1,1,4257.0,0.9
P2004.DCE,20200409,4598.0,4598.0,,,,4598.0,4598.0,0.0,0.0,0.0,0.0,0.0,0.0,P,20190416,20200415,1.0,Pv1,1,4654.9,1.1
P2008.DCE,20200410,4862.0,4862.0,4846.0,4886.0,4846.0,4850.0,4864.0,-12.0,2.0,5.0,24.32,5.0,1.0,P,20190815,20200814,3.0,Pv3,1,5331.4,1.0
P2011.DCE,20200414,4702.0,4790.0,4758.0,4760.0,4758.0,4758.0,4758.0,-32.0,-32.0,3.0,14.28,9.0,2.0,P,20191115,20201113,3.0,Pv3,1,3651.8,0.9
P2006.DCE,20200424,4682.0,4768.0,4678.0,4860.0,4678.0,4780.0,4790.0,12.0,22.0,6.0,28.75,9.0,0.0,P,20190618,20200612,2.0,Pv2,1,4802.6,1.0
P2008.DCE,20200427,4706.0,4608.0,4440.0,4604.0,4440.0,4590.0,4544.0,-18.0,-64.0,3.0,13.63,10.0,0.0,P,20190815,20200814,3.0,Pv3,1,5045.6,1.0
P2104.DCE,20200508,4690.0,4690.0,4718.0,4742.0,4566.0,4742.0,4696.0,52.0,6.0,5.0,23.49,3.0,3.0,P,20200416,20210415,1.0,Pv1,1,4737.4,1.0
P2006.DCE,20200518,4636.0,4646.0,4662.0,4690.0,4662.0,4690.0,4680.0,44.0,34.0,3.0,14.04,6.0,1.0,P,20190618,20200612,1.0,Pv1,1,4712.2,1.0
P2007.DCE,20200519,4720.0,4748.0,4682.0,4784.0,4606.0,4700.0,4666.0,-48.0,-82.0,34.0,158.69,11.0,-16.0,P,20190715,20200714,3.0,Pv3,1,4600.2,1.0
P2104.DCE,20200520,4658.0,4676.0,4688.0,4720.0,4670.0,4718.0,4700.0,42.0,24.0,24.0,112.82,9.0,-12.0,P,20200416,20210415,3.0,Pv3,1,4713.4,1.0
P2007.DCE,20200522,4724.0,4724.0,4616.0,4736.0,4616.0,4688.0,4690.0,-36.0,-34.0,19.0,89.15,11.0,0.0,P,20190715,20200714,3.0,Pv3,1,4588.5,1.0
P2008.DCE,20200527,4712.0,4712.0,4718.0,4718.0,4676.0,4698.0,4696.0,-14.0,-16.0,3.0,14.09,2.0,0.0,P,20190815,20200814,2.0,Pv2,1,5164.3,1.0
P2103.DCE,20200601,4956.0,4956.0,5012.0,5080.0,4908.0,5000.0,4980.0,44.0,24.0,5.0,24.91,19.0,0.0,P,20200316,20210312,3.0,Pv3,1,4633.2,0.9
P2007.DCE,20200604,4952.0,4956.0,4970.0,4970.0,4926.0,4950.0,4948.0,-6.0,-8.0,12.0,59.39,9.0,-10.0,P,20190715,20200714,3.0,Pv3,1,4844.9,1.0
P2008.DCE,20200608,4940.0,4940.0,4942.0,4942.0,4882.0,4882.0,4912.0,-58.0,-28.0,2.0,9.82,3.0,1.0,P,20190815,20200814,2.0,Pv2,1,5366.5,1.0
P2107.DCE,20200803,5388.0,5388.0,5460.0,5660.0,5460.0,5628.0,5584.0,240.0,196.0,6.0,33.51,3.0,2.0,P,20200715,20210714,3.0,Pv3,1,5260.6,0.9
P2108.DCE,20200918,6036.0,6042.0,6104.0,6142.0,6104.0,6142.0,6122.0,100.0,80.0,2.0,12.25,2.0,0.0,P,20200817,20210813,1.0,Pv1,1,5386.6,0.9
P2110.DCE,20201023,,5522.0,5578.0,5746.0,5550.0,5550.0,5618.0,28.0,96.0,13.0,73.04,11.0,,P,20201023,20211021,3.0,Pv3,1,5859.9,1.0
P2106.DCE,20201026,5722.0,5722.0,5878.0,5878.0,5878.0,5878.0,5878.0,156.0,156.0,1.0,5.88,11.0,0.0,P,20200615,20210615,2.0,Pv2,1,5396.4,1.0
P2110.DCE,20201027,5592.0,5540.0,5618.0,5650.0,5584.0,5638.0,5610.0,98.0,70.0,21.0,117.85,9.0,-10.0,P,20201023,20211021,3.0,Pv3,1,5952.8,1.0
P2107.DCE,20201028,5808.0,5818.0,5820.0,5820.0,5782.0,5782.0,5806.0,-36.0,-12.0,9.0,52.25,6.0,0.0,P,20200715,20210714,2.0,Pv2,1,5404.5,0.9
P2106.DCE,20201103,5748.0,5782.0,5782.0,5866.0,5782.0,5866.0,5846.0,84.0,64.0,5.0,29.24,15.0,3.0,P,20200615,20210615,3.0,Pv3,1,5385.4,1.0
P2107.DCE,20201104,5802.0,5802.0,5856.0,5856.0,5856.0,5856.0,5824.0,54.0,22.0,4684.0,27284.61,11.0,-48.0,P,20200715,20210714,3.0,Pv3,1,5473.7,0.9
P2011.DCE,20201105,7100.0,7100.0,,,,7100.0,7100.0,0.0,0.0,0.0,0.0,13.0,0.0,P,20191115,20201113,3.0,Pv3,1,5449.3,0.9
P2106.DCE,20201106,5938.0,5938.0,6142.0,6188.0,5996.0,6130.0,6118.0,192.0,180.0,8.0,48.95,11.0,0.0,P,20200615,20210615,2.0,Pv2,1,5627.8,1.0
P2107.DCE,20201111,5970.0,5966.0,5972.0,6124.0,5972.0,6058.0,6046.0,92.0,80.0,104198.0,630111.27,11.0,-3.0,P,20200715,20210714,2.0,Pv2,1,5662.5,0.9
P2106.DCE,20201116,6274.0,6260.0,,,,6260.0,6260.0,0.0,0.0,0.0,0.0,12.0,0.0,P,20200615,20210615,3.0,Pv3,1,5747.1,1.0
P2111.DCE,20201119,6126.0,6126.0,6212.0,6240.0,6168.0,6210.0,6194.0,84.0,68.0,18.0,111.5,11.0,7.0,P,20201116,20211112,3.0,Pv3,1,6133.1,1.0
P2107.DCE,20201125,6182.0,6186.0,6146.0,6240.0,6146.0,6210.0,6194.0,24.0,8.0,10.0,61.95,15.0,-4.0,P,20200715,20210714,3.0,Pv3,1,5804.6,0.9
P2108.DCE,20201202,6110.0,6110.0,6106.0,6214.0,6052.0,6056.0,6108.0,-54.0,-2.0,6.0,36.65,9.0,0.0,P,20200817,20210813,2.0,Pv2,1,5311.2,0.9
P2112.DCE,20201215,,6064.0,6066.0,6068.0,6066.0,6068.0,6066.0,4.0,2.0,6.0,36.4,6.0,,P,20201215,20211214,3.0,Pv3,1,6325.1,1.0
P2111.DCE,20210112,6608.0,6684.0,6528.0,6528.0,6482.0,6482.0,6520.0,-202.0,-164.0,6.0,39.12,20.0,-5.0,P,20201116,20211112,3.0,Pv3,1,6401.7,1.0
P2112.DCE,20210202,6182.0,6206.0,6122.0,6156.0,6086.0,6150.0,6120.0,-56.0,-86.0,10.0,61.2,31.0,2.0,P,20201215,20211214,3.0,Pv3,1,6410.6,1.0
P2108.DCE,20210222,6854.0,6728.0,6788.0,6790.0,6772.0,6790.0,6780.0,62.0,52.0,7.0,47.47,5.0,-1.0,P,20200817,20210813,2.0,Pv2,1,5954.9,0.9
P2202.DCE,20210224,6544.0,6512.0,6596.0,6604.0,6596.0,6604.0,6600.0,92.0,88.0,2.0,13.2,3.0,1.0,P,20210222,20220218,1.0,Pv1,1,6614.1,1.0
P2203.DCE,20210318,6592.0,6616.0,6580.0,6580.0,6526.0,6558.0,6562.0,-58.0,-54.0,13.0,85.31,19.0,13.0,P,20210315,20220314,2.0,Pv2,1,6425.1,1.0
P2204.DCE,20210426,7114.0,7114.0,7080.0,7080.0,6962.0,6962.0,7016.0,-152.0,-98.0,3.0,21.05,6.0,3.0,P,20210416,20220418,1.0,Pv1,1,6913.5,1.0
P2205.DCE,20210520,,7498.0,7264.0,7440.0,7166.0,7406.0,7278.0,-92.0,-220.0,241.0,1754.12,141.0,,P,20210520,20220518,2.0,Pv2,1,8870.0,1.2
P2106.DCE,20210521,9312.0,9208.0,9156.0,9156.0,8870.0,8870.0,9004.0,-338.0,-204.0,71.0,639.41,188.0,-21.0,P,20200615,20210615,3.0,Pv3,1,8143.3,1.0
P2204.DCE,20210525,7032.0,7022.0,7058.0,7110.0,7058.0,7070.0,7080.0,48.0,58.0,211.0,1494.2,246.0,196.0,P,20210416,20220418,3.0,Pv3,1,7020.7,1.0
P2107.DCE,20210601,8534.0,8534.0,8300.0,8420.0,8298.0,8420.0,8314.0,-114.0,-220.0,17.0,141.35,260.0,5.0,P,20200715,20210714,3.0,Pv3,1,7870.3,0.9
P2204.DCE,20210615,7132.0,7252.0,6768.0,6842.0,6688.0,6822.0,6754.0,-430.0,-498.0,198.0,1337.32,1658.0,8.0,P,20210416,20220418,3.0,Pv3,1,6774.4,1.0
P2108.DCE,20210616,7362.0,7360.0,7372.0,7388.0,7128.0,7128.0,7250.0,-232.0,-110.0,14.0,101.5,107.0,-3.0,P,20200817,20210813,2.0,Pv2,1,6251.3,0.9
P2206.DCE,20210617,6672.0,7062.0,6606.0,6706.0,6520.0,6706.0,6606.0,-356.0,-456.0,6.0,39.64,4.0,2.0,P,20210616,20220615,1.0,Pv1,1,6546.9,1.0
P2207.DCE,20210721,7228.0,7224.0,7356.0,7356.0,7226.0,7226.0,7256.0,2.0,32.0,9.0,65.31,4.0,-3.0,P,20210715,20220714,1.0,Pv1,1,6926.4,1.0
P2208.DCE,20210820,7660.0,7660.0,7514.0,7514.0,7404.0,7404.0,7476.0,-256.0,-184.0,3.0,22.43,7.0,0.0,P,20210816,20220812,1.0,Pv1,1,9203.5,1.2
P2109.DCE,20210909,9350.0,9298.0,,,,9298.0,9298.0,0.0,0.0,0.0,0.0,861.0,0.0,P,20200915,20210914,3.0,Pv3,1,9298.0,1.0
P2207.DCE,20210910,7616.0,7616.0,7622.0,7622.0,7420.0,7450.0,7528.0,-166.0,-88.0,6.0,45.17,481.0,0.0,P,20210715,20220714,1.0,Pv1,1,7141.1,1.0
P2209.DCE,20210915,,7420.0,7352.0,7566.0,7340.0,7526.0,7500.0,106.0,80.0,88.0,660.16,55.0,,P,20210915,20220915,1.0,Pv1,1,7526.0,1.0
P2207.DCE,20211118,8270.0,8144.0,8328.0,8392.0,8254.0,8364.0,8332.0,220.0,188.0,31.0,258.34,989.0,9.0,P,20210715,20220714,3.0,Pv3,1,8017.2,1.0
P2211.DCE,20211129,7732.0,7794.0,7640.0,7696.0,7596.0,7600.0,7612.0,-194.0,-182.0,116.0,883.13,119.0,113.0,P,20211115,20221114,1.0,Pv1,1,8113.5,1.0
P2210.DCE,20211215,7374.0,7392.0,7338.0,7374.0,7310.0,7340.0,7352.0,-52.0,-40.0,373.0,2742.59,622.0,330.0,P,20211022,20221021,2.0,Pv2,1,6998.4,1.0
P2212.DCE,20211222,7408.0,7408.0,7450.0,7450.0,7390.0,7390.0,7442.0,-18.0,34.0,13.0,96.75,18.0,8.0,P,20211215,20221214,1.0,Pv1,1,7092.9,1.0
P2301.DCE,20220118,,8046.0,8050.0,8058.0,7880.0,8044.0,8008.0,-2.0,-38.0,100.0,800.87,63.0,,P,20220118,20230116,2.0,Pv2,1,8044.0,1.0
P2211.DCE,20220209,9014.0,8964.0,8744.0,8820.0,8690.0,8760.0,8802.0,-204.0,-162.0,151.0,1329.21,816.0,-132.0,P,20211115,20221114,3.0,Pv3,1,9351.8,1.0
P2212.DCE,20220211,8766.0,8742.0,8778.0,8846.0,8760.0,8780.0,8780.0,38.0,38.0,28.0,245.86,60.0,21.0,P,20211215,20221214,1.0,Pv1,1,8427.0,1.0
P2302.DCE,20220223,8900.0,8910.0,9010.0,9218.0,8998.0,9188.0,9150.0,278.0,240.0,36.0,329.43,8.0,2.0,P,20220221,20230214,1.0,Pv1,1,8977.2,1.0
P2303.DCE,20220317,9578.0,9578.0,9402.0,9530.0,9282.0,9282.0,9436.0,-296.0,-142.0,8.0,75.49,5.0,5.0,P,20220315,20230314,1.0,Pv1,1,9248.4,1.0
P2304.DCE,20220429,10932.0,10968.0,11020.0,11070.0,10964.0,11022.0,11038.0,54.0,70.0,40.0,441.53,30.0,14.0,P,20220419,20230417,1.0,Pv1,1,10974.4,1.0
P2306.DCE,20220617,10066.0,10150.0,10034.0,10166.0,10002.0,10148.0,10068.0,-2.0,-82.0,6.0,60.42,3.0,1.0,P,20220616,20230614,1.0,Pv1,1,9641.9,1.0
P2307.DCE,20220722,7824.0,7824.0,7844.0,7874.0,7712.0,7760.0,7784.0,-64.0,-40.0,15.0,116.77,1.0,1.0,P,20220715,20230714,1.0,Pv1,1,7468.2,1.0
P2308.DCE,20220831,8576.0,8576.0,8576.0,8576.0,8572.0,8572.0,8574.0,-4.0,-2.0,4.0,34.3,4.0,4.0,P,20220815,20230814,1.0,Pv1,1,8370.0,1.0
P2309.DCE,20220916,,7900.0,7818.0,7906.0,7730.0,7798.0,7800.0,-102.0,-100.0,24.0,187.23,15.0,,P,20220916,20230914,1.0,Pv1,1,7798.0,1.0
P2307.DCE,20220926,7648.0,7662.0,7500.0,7538.0,7250.0,7250.0,7406.0,-412.0,-256.0,23.0,170.37,138.0,10.0,P,20220715,20230714,3.0,Pv3,1,6977.4,1.0
P2308.DCE,20220930,7040.0,7094.0,7040.0,7080.0,7022.0,7080.0,7040.0,-14.0,-54.0,31.0,218.3,30.0,6.0,P,20220815,20230814,1.0,Pv1,1,6913.1,1.0
P2309.DCE,20221010,7072.0,7056.0,7338.0,7634.0,7314.0,7314.0,7440.0,258.0,384.0,189.0,1406.44,285.0,-13.0,P,20220916,20230914,3.0,Pv3,1,7314.0,1.0
P2308.DCE,20221024,7946.0,7984.0,7916.0,7962.0,7816.0,7816.0,7882.0,-168.0,-102.0,96.0,756.68,97.0,-33.0,P,20220815,20230814,2.0,Pv2,1,7631.8,1.0
P2309.DCE,20221101,7694.0,7710.0,7710.0,7980.0,7670.0,7980.0,7832.0,270.0,122.0,399.0,3125.1,482.0,118.0,P,20220916,20230914,3.0,Pv3,1,7980.0,1.0
P2310.DCE,20221115,8118.0,8156.0,8018.0,8058.0,7920.0,7920.0,8016.0,-236.0,-140.0,19.0,152.32,41.0,14.0,P,20221024,20231020,2.0,Pv2,1,7998.5,1.0
P2311.DCE,20221117,7904.0,7904.0,7768.0,7768.0,7658.0,7658.0,7694.0,-246.0,-210.0,6.0,46.17,6.0,4.0,P,20221115,20231114,1.0,Pv1,1,7644.8,1.0
P2312.DCE,20230103,8162.0,8116.0,7976.0,8148.0,7976.0,8106.0,8098.0,-10.0,-18.0,16.0,129.58,21.0,2.0,P,20221215,20231214,1.0,Pv1,1,8076.8,1.0
P2401.DCE,20230117,,7716.0,7796.0,7796.0,7696.0,7738.0,7720.0,22.0,4.0,16.0,123.55,11.0,,P,20230117,20240116,1.0,Pv1,1,7692.3,1.0
P2311.DCE,20230215,7802.0,7756.0,7796.0,7860.0,7740.0,7742.0,7790.0,-14.0,34.0,20.0,155.81,173.0,0.0,P,20221115,20231114,3.0,Pv3,1,7728.7,1.0
P2401.DCE,20230216,7734.0,7772.0,7736.0,7820.0,7698.0,7772.0,7768.0,0.0,-4.0,168.0,1305.12,213.0,-10.0,P,20230117,20240116,3.0,Pv3,1,7726.1,1.0
P2403.DCE,20230315,,7550.0,7606.0,7606.0,7554.0,7554.0,7586.0,4.0,36.0,10.0,75.88,8.0,,P,20230315,20240314,1.0,Pv1,1,7536.4,1.0
P2404.DCE,20230504,6818.0,6850.0,6818.0,6862.0,6710.0,6846.0,6796.0,-4.0,-54.0,29.0,197.12,32.0,7.0,P,20230418,20240415,1.0,Pv1,1,6744.3,1.0
P2405.DCE,20230518,,6672.0,6496.0,6728.0,6496.0,6592.0,6604.0,-80.0,-68.0,149.0,984.1,86.0,,P,20230518,20240517,2.0,Pv2,1,6620.1,1.0
P2306.DCE,20230531,7008.0,7096.0,7046.0,7046.0,6600.0,6600.0,6940.0,-496.0,-156.0,1660.0,11521.74,329.0,-1531.0,P,20220616,20230614,2.0,Pv2,1,6270.8,1.0
P2405.DCE,20230601,6356.0,6416.0,6300.0,6448.0,6264.0,6424.0,6386.0,8.0,-30.0,500.0,3193.13,950.0,98.0,P,20230518,20240517,3.0,Pv3,1,6451.4,1.0
P2403.DCE,20230619,7166.0,7078.0,7188.0,7278.0,7158.0,7182.0,7206.0,104.0,128.0,149.0,1073.86,3930.0,-28.0,P,20230315,20240314,3.0,Pv3,1,7165.3,1.0
P2307.DCE,20230627,7230.0,7202.0,7210.0,7350.0,7210.0,7276.0,7296.0,74.0,94.0,2191.0,15986.17,2737.0,-1809.0,P,20220715,20230714,3.0,Pv3,1,7002.4,1.0
P2404.DCE,20230705,7578.0,7578.0,7478.0,7502.0,7386.0,7420.0,7442.0,-158.0,-136.0,35.0,260.5,43.0,7.0,P,20230418,20240415,2.0,Pv2,1,7309.7,1.0
P2406.DCE,20230710,7368.0,7374.0,7348.0,7394.0,7302.0,7384.0,7346.0,10.0,-28.0,23.0,168.98,26.0,4.0,P,20230615,20240614,1.0,Pv1,1,7541.9,1.0
P2407.DCE,20230718,7368.0,7352.0,7378.0,7398.0,7328.0,7328.0,7380.0,-24.0,28.0,23.0,169.76,4.0,0.0,P,20230717,20240712,1.0,Pv1,1,7274.1,1.0
P2408.DCE,20230913,7356.0,7348.0,7362.0,7410.0,7314.0,7342.0,7352.0,-6.0,4.0,1127.0,8287.18,1158.0,863.0,P,20230815,20240814,3.0,Pv3,1,7423.0,1.0
P2406.DCE,20230915,7454.0,7434.0,7494.0,7578.0,7476.0,7518.0,7504.0,84.0,70.0,255.0,1913.53,768.0,73.0,P,20230615,20240614,2.0,Pv2,1,7678.8,1.0
P2407.DCE,20230918,7492.0,7500.0,7476.0,7478.0,7384.0,7448.0,7440.0,-52.0,-60.0,214.0,1592.33,800.0,23.0,P,20230717,20240712,3.0,Pv3,1,7393.2,1.0
P2409.DCE,20230919,7376.0,7368.0,7368.0,7370.0,7264.0,7288.0,7304.0,-80.0,-64.0,198.0,1446.43,282.0,107.0,P,20230915,20240913,1.0,Pv1,1,7288.0,1.0
P2406.DCE,20231011,7076.0,7072.0,7076.0,7136.0,7046.0,7068.0,7084.0,-4.0,12.0,158.0,1119.36,726.0,35.0,P,20230615,20240614,1.0,Pv1,1,7219.2,1.0
P2407.DCE,20231012,7036.0,7062.0,7020.0,7052.0,6982.0,7052.0,7020.0,-10.0,-42.0,96.0,674.06,915.0,-20.0,P,20230717,20240712,3.0,Pv3,1,7000.2,1.0
